# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s
pgxl;60;1440177833;eth0;53.45;49.88;7.76;10.75;0.00;0.00;0.00
pgxl;60;1440177833;lo;0.17;0.17;0.01;0.01;0.00;0.00;0.00
pgxl;60;1440177893;eth0;5472.23;6002.10;306.31;82736.75;0.00;0.00;0.00
pgxl;60;1440177893;lo;279.33;279.33;47.16;47.16;0.00;0.00;0.00
pgxl;60;1440177953;eth0;5924.11;6473.94;328.85;86648.66;0.00;0.00;0.00
pgxl;60;1440177953;lo;13.58;13.58;4.48;4.48;0.00;0.00;0.00
pgxl;60;1440178013;eth0;6497.98;6951.79;361.19;87289.60;0.00;0.00;0.00
pgxl;60;1440178013;lo;12.51;12.51;4.25;4.25;0.00;0.00;0.00
pgxl;60;1440178073;eth0;7013.21;7224.65;390.99;88158.77;0.00;0.00;0.00
pgxl;60;1440178073;lo;12.71;12.71;4.33;4.33;0.00;0.00;0.00
pgxl;60;1440178133;eth0;7311.70;7352.32;408.87;88855.03;0.00;0.00;0.00
pgxl;60;1440178133;lo;13.53;13.53;4.44;4.44;0.00;0.00;0.00
pgxl;60;1440178193;eth0;7750.56;7698.08;435.14;90093.92;0.00;0.00;0.00
pgxl;60;1440178193;lo;11.35;11.35;4.11;4.11;0.00;0.00;0.00
pgxl;60;1440178253;eth0;7911.13;7907.77;443.52;90019.68;0.00;0.00;0.00
pgxl;60;1440178253;lo;11.05;11.05;4.03;4.03;0.00;0.00;0.00
pgxl;60;1440178313;eth0;8320.21;8371.99;468.10;91380.32;0.00;0.00;0.00
pgxl;60;1440178313;lo;10.28;10.28;3.73;3.73;0.00;0.00;0.00
pgxl;60;1440178373;eth0;8794.25;9020.80;495.96;92591.34;0.00;0.00;0.00
pgxl;60;1440178373;lo;10.63;10.63;3.76;3.76;0.00;0.00;0.00
pgxl;60;1440178433;eth0;8957.50;9345.23;508.27;95048.51;0.00;0.00;0.00
pgxl;60;1440178433;lo;10.90;10.90;3.82;3.82;0.00;0.00;0.00
pgxl;60;1440178493;eth0;9133.93;9727.92;518.98;96655.36;0.00;0.00;0.00
pgxl;60;1440178493;lo;10.13;10.13;3.57;3.57;0.00;0.00;0.00
pgxl;60;1440178553;eth0;9355.63;10046.35;530.31;96984.53;0.00;0.00;0.00
pgxl;60;1440178553;lo;10.48;10.48;3.58;3.58;0.00;0.00;0.00
pgxl;60;1440178613;eth0;9548.87;10286.45;540.43;96724.14;0.00;0.00;0.00
pgxl;60;1440178613;lo;10.42;10.42;3.58;3.58;0.00;0.00;0.00
pgxl;60;1440178673;eth0;9778.79;10635.39;745.87;96435.30;0.00;0.00;0.00
pgxl;60;1440178673;lo;19.76;19.76;5.26;5.26;0.00;0.00;0.00
pgxl;60;1440178733;eth0;9594.48;10277.17;1488.25;94404.78;0.00;0.00;0.00
pgxl;60;1440178733;lo;20.66;20.66;5.07;5.07;0.00;0.00;0.00
pgxl;60;1440178793;eth0;9078.65;9783.85;581.41;89477.70;0.00;0.00;0.00
pgxl;60;1440178793;lo;23.07;23.07;5.15;5.15;0.00;0.00;0.00
pgxl;60;1440178853;eth0;9217.55;9731.11;1936.48;87695.99;0.00;0.00;0.00
pgxl;60;1440178853;lo;18.00;18.00;4.32;4.32;0.00;0.00;0.00
pgxl;60;1440178913;eth0;8534.30;9047.62;2571.96;78116.04;0.00;0.00;0.00
pgxl;60;1440178913;lo;25.73;25.73;5.65;5.65;0.00;0.00;0.00
pgxl;60;1440178974;eth0;6398.75;7898.80;851.63;63332.70;0.00;0.00;0.00
pgxl;60;1440178974;lo;13.71;13.71;3.44;3.44;0.00;0.00;0.00
pgxl;60;1440179034;eth0;6926.97;7886.87;1297.56;63446.04;0.00;0.00;0.00
pgxl;60;1440179034;lo;18.25;18.25;4.10;4.10;0.00;0.00;0.00
pgxl;60;1440179094;eth0;7280.20;7917.92;389.69;63204.75;0.00;0.00;0.00
pgxl;60;1440179094;lo;23.78;23.78;4.80;4.80;0.00;0.00;0.00
pgxl;60;1440179154;eth0;6765.07;7982.10;870.86;63280.73;0.00;0.00;0.00
pgxl;60;1440179154;lo;24.83;24.83;4.94;4.94;0.00;0.00;0.00
pgxl;60;1440179214;eth0;6373.00;7948.27;343.54;63224.27;0.00;0.00;0.00
pgxl;60;1440179214;lo;13.33;13.33;3.30;3.30;0.00;0.00;0.00
pgxl;60;1440179274;eth0;6970.17;7923.88;374.57;63230.05;0.00;0.00;0.00
pgxl;60;1440179274;lo;13.98;13.98;3.45;3.45;0.00;0.00;0.00
pgxl;60;1440179334;eth0;6831.75;7972.00;856.83;63178.90;0.00;0.00;0.00
pgxl;60;1440179334;lo;13.15;13.15;3.30;3.30;0.00;0.00;0.00
pgxl;60;1440179394;eth0;6305.87;7935.22;338.57;63075.89;0.00;0.00;0.00
pgxl;60;1440179394;lo;17.00;17.00;3.75;3.75;0.00;0.00;0.00
pgxl;60;1440179454;eth0;6292.92;7930.58;337.67;63060.05;0.00;0.00;0.00
pgxl;60;1440179454;lo;12.28;12.28;3.13;3.13;0.00;0.00;0.00
pgxl;60;1440179514;eth0;6407.90;7951.73;343.25;63171.45;0.00;0.00;0.00
pgxl;60;1440179514;lo;12.12;12.12;3.12;3.12;0.00;0.00;0.00
pgxl;60;1440179574;eth0;7635.06;7924.36;1072.91;62841.89;0.00;0.00;0.00
pgxl;60;1440179574;lo;13.41;13.41;3.32;3.32;0.00;0.00;0.00
pgxl;60;1440179634;eth0;7725.48;7931.94;408.04;63064.00;0.00;0.00;0.00
pgxl;60;1440179634;lo;12.15;12.15;3.10;3.10;0.00;0.00;0.00
pgxl;60;1440179694;eth0;7742.53;7947.37;408.75;63216.30;0.00;0.00;0.00
pgxl;60;1440179694;lo;16.98;16.98;3.74;3.74;0.00;0.00;0.00
pgxl;60;1440179754;eth0;7747.48;7943.08;409.12;63177.77;0.00;0.00;0.00
pgxl;60;1440179754;lo;12.15;12.15;3.12;3.12;0.00;0.00;0.00
pgxl;60;1440179814;eth0;7730.02;7929.77;408.07;63064.32;0.00;0.00;0.00
pgxl;60;1440179814;lo;12.18;12.18;3.10;3.10;0.00;0.00;0.00
pgxl;60;1440179874;eth0;7756.88;7951.97;410.20;63174.72;0.00;0.00;0.00
pgxl;60;1440179874;lo;12.23;12.23;3.27;3.27;0.00;0.00;0.00
pgxl;60;1440179934;eth0;7699.80;7937.03;407.39;62970.63;0.00;0.00;0.00
pgxl;60;1440179934;lo;14.60;14.60;3.54;3.54;0.00;0.00;0.00
pgxl;60;1440179994;eth0;916.75;953.80;61.54;7169.36;0.00;0.00;0.00
pgxl;60;1440179994;lo;18.58;18.58;4.00;4.00;0.00;0.00;0.00
pgxl;60;1440180054;eth0;37.92;43.25;16.38;5.52;0.00;0.00;0.00
pgxl;60;1440180054;lo;12.32;12.32;3.00;3.00;0.00;0.00;0.00
pgxl;60;1440180114;eth0;38.83;42.28;16.34;5.42;0.00;0.00;0.00
pgxl;60;1440180114;lo;12.33;12.33;2.99;2.99;0.00;0.00;0.00
pgxl;60;1440180174;eth0;43.17;48.52;17.05;5.96;0.00;0.00;0.00
pgxl;60;1440180174;lo;13.08;13.08;3.20;3.20;0.00;0.00;0.00
pgxl;60;1440180234;eth0;38.33;47.43;16.47;5.71;0.00;0.00;0.00
pgxl;60;1440180234;lo;13.35;13.35;3.21;3.21;0.00;0.00;0.00
pgxl;60;1440180294;eth0;38.15;46.02;16.26;5.60;0.00;0.00;0.00
pgxl;60;1440180294;lo;22.35;22.35;4.33;4.33;0.00;0.00;0.00
pgxl;60;1440180354;eth0;36.17;40.40;15.98;4.85;0.00;0.00;0.00
pgxl;60;1440180354;lo;22.23;22.23;4.25;4.25;0.00;0.00;0.00
pgxl;60;1440180414;eth0;42.43;48.03;16.85;5.54;0.00;0.00;0.00
pgxl;60;1440180414;lo;15.78;15.78;3.49;3.49;0.00;0.00;0.00
pgxl;60;1440180474;eth0;41.88;49.70;17.67;6.92;0.00;0.00;0.00
pgxl;60;1440180474;lo;12.48;12.48;2.97;2.97;0.00;0.00;0.00
pgxl;60;1440180534;eth0;37.85;47.63;16.17;5.41;0.00;0.00;0.00
pgxl;60;1440180534;lo;11.73;11.73;2.90;2.90;0.00;0.00;0.00
pgxl;60;1440180594;eth0;35.43;44.28;15.23;5.08;0.00;0.00;0.00
pgxl;60;1440180594;lo;11.97;11.97;2.90;2.90;0.00;0.00;0.00
pgxl;60;1440180654;eth0;33.35;40.93;15.00;4.85;0.00;0.00;0.00
pgxl;60;1440180654;lo;11.65;11.65;2.85;2.85;0.00;0.00;0.00
