# hostname;interval;timestamp;DEV;tps;rd_sec/s;wr_sec/s;avgrq-sz;avgqu-sz;await;svctm;%util
pgxl8;60;1440177834;xvda;19.42;6.07;2715.10;140.15;0.45;22.97;0.27;0.53
pgxl8;60;1440177834;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl8;60;1440177894;xvda;260.12;0.80;60534.63;232.72;10.44;40.12;0.49;12.84
pgxl8;60;1440177894;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl8;60;1440177954;xvda;316.32;0.53;76820.00;242.86;25.19;79.64;0.63;20.00
pgxl8;60;1440177954;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl8;60;1440178014;xvda;363.50;0.27;85599.23;235.49;34.53;94.99;0.66;24.08
pgxl8;60;1440178014;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl8;60;1440178074;xvda;339.03;0.00;80644.08;237.86;23.55;69.46;0.58;19.82
pgxl8;60;1440178074;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl8;60;1440178134;xvda;311.85;0.27;73536.33;235.81;20.59;66.04;0.58;18.08
pgxl8;60;1440178134;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl8;60;1440178194;xvda;464.70;0.00;104481.77;224.84;40.57;87.31;0.64;29.87
pgxl8;60;1440178194;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl8;60;1440178254;xvda;490.82;0.53;108644.47;221.36;28.39;57.84;0.53;26.03
pgxl8;60;1440178254;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl8;60;1440178314;xvda;422.45;0.27;91008.97;215.43;17.19;40.69;0.42;17.80
pgxl8;60;1440178314;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl8;60;1440178374;xvda;387.78;0.27;82988.77;214.01;13.31;34.32;0.40;15.54
pgxl8;60;1440178374;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl8;60;1440178434;xvda;415.40;0.00;91007.72;219.08;16.18;38.63;0.41;17.10
pgxl8;60;1440178434;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl8;60;1440178494;xvda;453.55;0.27;93734.70;206.67;34.29;75.84;0.56;25.50
pgxl8;60;1440178494;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl8;60;1440178554;xvda;488.20;0.00;102493.80;209.94;40.16;82.33;0.63;30.99
pgxl8;60;1440178554;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl8;60;1440178614;xvda;299.22;0.00;59679.12;199.45;8.84;29.53;0.34;10.11
pgxl8;60;1440178614;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl8;60;1440178674;xvda;361.65;0.00;75264.37;208.11;12.11;33.48;0.34;12.42
pgxl8;60;1440178674;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl8;60;1440178734;xvda;383.95;0.00;87179.65;227.06;14.45;37.63;0.38;14.57
pgxl8;60;1440178734;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl8;60;1440178794;xvda;448.63;0.00;93417.70;208.23;25.16;56.09;0.44;19.77
pgxl8;60;1440178794;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl8;60;1440178854;xvda;435.52;0.00;88576.95;203.38;29.30;67.28;0.53;22.87
pgxl8;60;1440178854;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl8;60;1440178914;xvda;483.65;0.00;103728.32;214.47;34.92;68.45;0.50;24.38
pgxl8;60;1440178914;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl8;60;1440178974;xvda;803.75;0.00;166282.60;206.88;199.27;250.19;1.21;97.30
pgxl8;60;1440178974;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl8;60;1440179034;xvda;430.57;0.00;101959.88;236.80;93.35;213.51;1.09;46.80
pgxl8;60;1440179034;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl8;60;1440179094;xvda;613.10;0.00;120690.50;196.85;74.07;122.70;0.65;39.88
pgxl8;60;1440179094;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl8;60;1440179154;xvda;535.08;0.00;110696.88;206.88;59.22;111.16;0.71;37.90
pgxl8;60;1440179154;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl8;60;1440179214;xvda;349.79;0.00;79844.91;228.26;30.07;85.96;0.67;23.58
pgxl8;60;1440179214;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl8;60;1440179274;xvda;391.80;27880.82;67260.69;242.83;14.05;35.85;0.71;27.67
pgxl8;60;1440179274;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl8;60;1440179334;xvda;203.85;0.00;48810.95;239.45;7.40;36.33;0.42;8.66
pgxl8;60;1440179334;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl8;60;1440179394;xvda;224.42;0.00;51101.97;227.71;7.65;34.08;0.40;9.00
pgxl8;60;1440179394;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl8;60;1440179454;xvda;204.87;91.07;47865.15;234.09;9.17;44.78;0.49;10.10
pgxl8;60;1440179454;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl8;60;1440179514;xvda;191.97;370.67;45574.23;239.34;9.93;51.72;0.55;10.58
pgxl8;60;1440179514;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl8;60;1440179574;xvda;275.82;27979.47;38363.02;240.53;15.88;57.58;0.93;25.54
pgxl8;60;1440179574;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl8;60;1440179634;xvda;327.67;23248.40;50933.35;226.39;19.90;60.72;0.80;26.37
pgxl8;60;1440179634;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl8;60;1440179694;xvda;217.30;0.00;47619.02;219.14;17.62;81.06;0.63;13.69
pgxl8;60;1440179694;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl8;60;1440179754;xvda;189.93;0.00;43842.65;230.83;6.30;33.16;0.41;7.74
pgxl8;60;1440179754;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl8;60;1440179814;xvda;213.15;0.00;50590.68;237.35;20.34;95.43;0.74;15.71
pgxl8;60;1440179814;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl8;60;1440179874;xvda;217.25;0.00;50950.68;234.53;20.72;95.40;0.73;15.81
pgxl8;60;1440179874;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl8;60;1440179934;xvda;226.53;0.00;47607.63;210.16;17.63;77.83;0.61;13.85
pgxl8;60;1440179934;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl8;60;1440179994;xvda;723.72;76678.00;88763.62;228.60;59.99;82.54;1.09;79.17
pgxl8;60;1440179994;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl8;60;1440180054;xvda;771.23;63091.60;116098.67;232.34;79.77;103.42;1.15;88.36
