# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
pgxl8;60;1440177834;30080396;907424;2.93;0;536584;9048000;29.20;198740;402908;2220
pgxl8;60;1440177894;29051964;1935856;6.25;0;1510028;9100652;29.37;768876;830912;368376
pgxl8;60;1440177954;28049420;2938400;9.48;0;2471624;9127520;29.46;1291712;1282532;317940
pgxl8;60;1440178014;27137448;3850372;12.43;0;3346364;9152692;29.54;1902504;1558736;126648
pgxl8;60;1440178074;26187068;4800752;15.49;0;4257884;9178224;29.62;2492484;1891776;311808
pgxl8;60;1440178134;24920068;6067752;19.58;0;5161640;9567376;30.87;3416876;2204696;685220
pgxl8;60;1440178194;23787944;7199876;23.23;0;6111376;9769340;31.53;4394372;2325624;612660
pgxl8;60;1440178254;22130048;8857772;28.58;0;6967860;10586600;34.16;5923304;2421644;303264
pgxl8;60;1440178314;21196376;9791444;31.60;0;7894996;10596428;34.20;6480884;2771388;192256
pgxl8;60;1440178374;19531500;11456320;36.97;0;8956640;11151776;35.99;7463452;3410672;401276
pgxl8;60;1440178434;18042200;12945620;41.78;0;9919416;11624412;37.51;8448332;3883404;260952
pgxl8;60;1440178494;17733664;13254156;42.77;0;10814924;10975372;35.42;8925344;3683192;677028
pgxl8;60;1440178554;16776472;14211348;45.86;0;11705548;11024232;35.58;9887036;3640708;307868
pgxl8;60;1440178614;15190248;15797572;50.98;0;12565812;11717232;37.81;11058316;4024644;511708
pgxl8;60;1440178674;13347120;17640700;56.93;0;13465828;12648768;40.82;12522796;4363520;405712
pgxl8;60;1440178734;11559076;19428744;62.70;0;14693444;13151032;42.44;13663452;4969208;431124
pgxl8;60;1440178794;9990896;20996924;67.76;0;15465856;13902884;44.87;16104556;4066328;565156
pgxl8;60;1440178854;8211968;22775852;73.50;0;16203928;14944172;48.23;18095820;3825048;393148
pgxl8;60;1440178914;4390176;26597644;85.83;0;18454476;16881284;54.48;20825276;4871100;2528448
pgxl8;60;1440178974;3641240;27346580;88.25;0;19587676;16053512;51.81;20846168;5530484;551836
pgxl8;60;1440179034;6458568;24529252;79.16;0;21227128;11652816;37.60;16963748;6573712;469724
pgxl8;60;1440179094;4532008;26455812;85.37;0;23005100;11673752;37.67;17761140;7670392;743680
pgxl8;60;1440179154;354928;30632892;98.85;0;23910748;15120756;48.80;23023960;6553728;504192
pgxl8;60;1440179214;1329816;29658004;95.71;0;24121948;13741020;44.34;19100088;9490284;255472
pgxl8;60;1440179274;226512;30761308;99.27;0;24478704;14393460;46.45;20715976;8964284;301728
pgxl8;60;1440179334;1661624;29326196;94.64;0;24913828;12531668;40.44;18449776;9821420;250984
pgxl8;60;1440179394;228784;30759036;99.26;0;25298568;13581688;43.83;19948932;9767968;193104
pgxl8;60;1440179454;227880;30759940;99.26;0;23742068;15162020;48.93;18507452;11221808;127640
pgxl8;60;1440179514;2365752;28622068;92.37;0;23575548;13178748;42.53;16327888;11303264;175400
pgxl8;60;1440179574;3250388;27737432;89.51;0;24909120;10925240;35.26;15648120;11110476;435532
pgxl8;60;1440179634;1979296;29008524;93.61;0;26094636;10997036;35.49;17253556;10783456;317596
pgxl8;60;1440179694;1067912;29919908;96.55;0;26586132;11410684;36.82;18615292;10318500;350260
pgxl8;60;1440179754;1437956;29549864;95.36;0;27095416;10508948;33.91;18496736;10057416;417092
pgxl8;60;1440179814;2149484;28838336;93.06;0;27601024;9276488;29.94;19200928;8640288;309656
pgxl8;60;1440179874;1648620;29339200;94.68;0;28087832;9274536;29.93;19696468;8631720;190064
pgxl8;60;1440179934;820536;30167284;97.35;0;28578280;9620576;31.05;20853388;8294800;165400
pgxl8;60;1440179994;534796;30453024;98.27;0;25784288;13802480;44.54;18867476;10628756;242556
pgxl8;60;1440180054;222784;30765036;99.28;0;18452076;21438448;69.18;22957372;6972624;3459924
pgxl8;60;1440180114;226360;30761460;99.27;0;17794632;24088360;77.73;21847312;8089808;2657768
pgxl8;60;1440180174;7522328;23465492;75.72;0;17798816;15111960;48.77;14573868;8084444;60
pgxl8;60;1440180234;8672328;22315492;72.01;0;20528520;10059656;32.46;14943508;6580556;0
pgxl8;60;1440180294;1130664;29857156;96.35;0;22365868;16374740;52.84;20800764;8213420;90408
pgxl8;60;1440180354;211408;30776412;99.32;0;20395740;21022352;67.84;21210760;8736444;524240
pgxl8;60;1440180414;9505072;21482748;69.33;0;20458336;11289544;36.43;14478932;6148264;6293104
pgxl8;60;1440180474;9239668;21748152;70.18;0;20743008;11272076;36.38;14800752;6103208;3300376
pgxl8;60;1440180534;7031396;23956424;77.31;0;22992512;11236788;36.26;17266920;5869632;40
pgxl8;60;1440180594;3482652;27505168;88.76;0;26554556;11225728;36.23;21191172;5502268;96648
pgxl8;60;1440180654;854204;30133616;97.24;0;27073388;11246596;36.29;28547252;770364;77452
