ctime,numbackends,xact_commit,xact_rollback,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,135,0,130,5045,44393,1579,0,0,0
946684800,1,2945,5,11750074,8151440,491996585,176126,69132354,134,4745
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,137,0,135,5115,45395,1590,0,0,0
946684800,21,3070,5,12090330,9029919,493692796,615650,69178720,134,4745
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,139,0,135,5190,46397,1601,0,0,0
946684800,18,3125,5,12090330,9034830,493702162,618495,69178720,134,4745
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,141,0,135,5265,47399,1612,0,0,0
946684800,20,3161,5,12090330,9040079,493711704,621510,69178720,134,4745
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,143,0,135,5340,48401,1623,0,0,0
946684800,36,3290,5,12249191,11137969,495997729,1743638,69178721,134,4745
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,145,0,135,5415,49403,1634,0,0,0
946684800,37,3321,5,12249191,11142893,496006699,1746445,69178721,134,4745
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,147,0,135,5490,50405,1645,0,0,0
946684800,34,3354,5,12249191,11148375,496016765,1749624,69178721,134,4745
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,149,0,135,5565,51407,1656,0,0,0
946684800,35,3384,5,12249191,11153555,496026271,1752606,69178721,134,4745
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,151,0,135,5640,52409,1667,0,0,0
946684800,36,3413,5,12249191,11158456,496035229,1755402,69178721,134,4745
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,153,0,135,5715,53411,1678,0,0,0
946684800,36,3447,5,12249191,11163682,496044759,1758406,69178721,134,4745
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,155,0,135,5790,54413,1689,0,0,0
946684800,36,3479,5,12249191,11168885,496054277,1761399,69178721,134,4745
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,157,0,135,5865,55415,1700,0,0,0
946684800,35,3509,5,12249191,11174065,496063783,1764381,69178721,134,4745
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,159,0,135,5940,56417,1711,0,0,0
946684800,37,3545,5,12249191,11179314,496073325,1767396,69178721,134,4745
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,161,0,135,6015,57419,1722,0,0,0
946684800,38,3577,5,12249191,11184517,496082843,1770389,69178721,134,4745
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,163,0,135,6090,58421,1733,0,0,0
946684800,36,3609,5,12249191,11189720,496092361,1773382,69178721,134,4745
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,165,0,135,6165,59423,1744,0,0,0
946684800,38,3643,5,12249191,11194946,496101891,1776386,69178721,134,4745
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,0,0,0,0,0,0,0,0,0
