ctime,pid,usesysid,application_name,client_addr,client_port,backend_start,xact_start,query_start,waiting,query,state,state_change
946684800,27147,10,pgxc,10.93.131.148,37780,2015-08-21 14:12:23.492566-04,,2015-08-21 14:12:23.50131-04,f,RESET ALL;RESET SESSION AUTHORIZATION;RESET transaction_isolation;,idle,2015-08-21 14:12:23.529232-04
946684800,27149,10,psql,10.93.131.148,37805,2015-08-21 14:12:23.545128-04,,2015-08-21 14:12:23.560494-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, a.schemaname, a.relname, a.indexrelname, idx_scan, idx_tup_read, idx_tup_fetch, idx_blks_read, idx_blks_hit FROM pg_stat_all_indexes a, pg_statio_all_indexes b WHERE a.indexrelid = b.indexrelid) TO STDOUT (FORMAT CSV, HEADER);",active,2015-08-21 14:12:23.560496-04
946684800,27150,10,psql,10.93.131.148,37816,2015-08-21 14:12:23.555106-04,,2015-08-21 14:12:23.565983-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, pid, usesysid, application_name, client_addr, client_port, backend_start, xact_start, query_start, waiting, query , state, state_change FROM pg_stat_activity) TO STDOUT (FORMAT CSV, HEADER);",active,2015-08-21 14:12:23.565986-04
946684800,27151,10,psql,10.93.131.148,37819,2015-08-21 14:12:23.556912-04,,2015-08-21 14:12:23.565774-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, numbackends, xact_commit, xact_rollback, blks_read, blks_hit, tup_returned, tup_fetched, tup_inserted, tup_updated, tup_deleted FROM pg_stat_database) TO STDOUT (FORMAT CSV, HEADER);",active,2015-08-21 14:12:23.565776-04
946684800,27147,10,pgxc,10.93.131.148,37780,2015-08-21 14:12:23.492566-04,,2015-08-21 14:13:23.452649-04,f,RESET ALL;RESET SESSION AUTHORIZATION;RESET transaction_isolation;,idle,2015-08-21 14:13:23.464632-04
946684800,27179,10,pgxc,10.87.3.232,37079,2015-08-21 14:13:06.613873-04,,2015-08-21 14:13:15.361227-04,f,RESET ALL;RESET SESSION AUTHORIZATION;RESET transaction_isolation;,idle,2015-08-21 14:13:15.539331-04
946684800,27195,10,pgxc,10.87.3.206,34096,2015-08-21 14:13:06.639214-04,,2015-08-21 14:13:15.295958-04,f,RESET ALL;RESET SESSION AUTHORIZATION;RESET transaction_isolation;,idle,2015-08-21 14:13:15.539982-04
946684800,27197,10,pgxc,10.95.141.120,34323,2015-08-21 14:13:06.639714-04,,2015-08-21 14:13:15.251867-04,f,RESET ALL;RESET SESSION AUTHORIZATION;RESET transaction_isolation;,idle,2015-08-21 14:13:15.539399-04
946684800,27199,10,pgxc,10.87.3.206,34097,2015-08-21 14:13:06.64031-04,,2015-08-21 14:13:15.282877-04,f,RESET ALL;RESET SESSION AUTHORIZATION;RESET transaction_isolation;,idle,2015-08-21 14:13:15.540203-04
946684800,27198,10,pgxc,10.95.141.120,34324,2015-08-21 14:13:06.64079-04,,2015-08-21 14:13:15.249439-04,f,RESET ALL;RESET SESSION AUTHORIZATION;RESET transaction_isolation;,idle,2015-08-21 14:13:15.539818-04
946684800,27196,10,pgxc,10.223.4.4,54075,2015-08-21 14:13:06.641955-04,,2015-08-21 14:13:15.267023-04,f,RESET ALL;RESET SESSION AUTHORIZATION;RESET transaction_isolation;,idle,2015-08-21 14:13:15.540567-04
946684800,27200,10,pgxc,10.87.3.185,33353,2015-08-21 14:13:06.642588-04,,2015-08-21 14:13:15.270092-04,f,RESET ALL;RESET SESSION AUTHORIZATION;RESET transaction_isolation;,idle,2015-08-21 14:13:15.540303-04
946684800,27201,10,pgxc,10.87.8.227,54004,2015-08-21 14:13:06.643318-04,,2015-08-21 14:13:15.282204-04,f,RESET ALL;RESET SESSION AUTHORIZATION;RESET transaction_isolation;,idle,2015-08-21 14:13:15.540242-04
946684800,27202,10,pgxc,10.94.132.84,60128,2015-08-21 14:13:06.643397-04,,2015-08-21 14:13:15.284582-04,f,RESET ALL;RESET SESSION AUTHORIZATION;RESET transaction_isolation;,idle,2015-08-21 14:13:15.539856-04
946684800,27204,10,pgxc,10.92.9.245,54019,2015-08-21 14:13:06.64583-04,,2015-08-21 14:13:15.272425-04,f,RESET ALL;RESET SESSION AUTHORIZATION;RESET transaction_isolation;,idle,2015-08-21 14:13:15.540633-04
946684800,27203,10,pgxc,10.92.9.245,54018,2015-08-21 14:13:06.646301-04,,2015-08-21 14:13:15.264808-04,f,RESET ALL;RESET SESSION AUTHORIZATION;RESET transaction_isolation;,idle,2015-08-21 14:13:15.539543-04
