ctime,relname,pid,mode,granted
946684800,pg_index,12712,AccessShareLock,t
946684800,pg_index_indexrelid_index,12712,AccessShareLock,t
946684800,pg_index_indrelid_index,12712,AccessShareLock,t
946684800,pg_locks,12709,AccessShareLock,t
946684800,pg_namespace,12712,AccessShareLock,t
946684800,pg_namespace,12713,AccessShareLock,t
946684800,pg_namespace_nspname_index,12712,AccessShareLock,t
946684800,pg_namespace_nspname_index,12713,AccessShareLock,t
946684800,pg_namespace_oid_index,12712,AccessShareLock,t
946684800,pg_stat_all_tables,12712,AccessShareLock,t
946684800,pg_stat_database,12711,AccessShareLock,t
946684800,pg_statio_all_tables,12712,AccessShareLock,t
946684800,pg_amop,12789,AccessShareLock,t
946684800,pg_amop_fam_strat_index,12789,AccessShareLock,t
946684800,pg_index,12788,AccessShareLock,t
946684800,pg_index_indexrelid_index,12788,AccessShareLock,t
946684800,pg_index_indrelid_index,12788,AccessShareLock,t
946684800,pg_locks,12791,AccessShareLock,t
946684800,pg_namespace,12788,AccessShareLock,t
946684800,pg_namespace,12787,AccessShareLock,t
946684800,pg_namespace_nspname_index,12788,AccessShareLock,t
946684800,pg_namespace_nspname_index,12787,AccessShareLock,t
946684800,pg_namespace_oid_index,12788,AccessShareLock,t
946684800,pg_stat_activity,12789,AccessShareLock,t
946684800,pg_stat_all_tables,12788,AccessShareLock,t
946684800,pg_statio_all_tables,12788,AccessShareLock,t
946684800,time_statistics,12735,RowExclusiveLock,t
946684800,nation,12742,AccessShareLock,t
946684800,nation,12741,AccessShareLock,t
946684800,nation,12735,AccessShareLock,t
946684800,nation,12769,AccessShareLock,t
946684800,nation,12754,AccessShareLock,t
946684800,nation,12752,AccessShareLock,t
946684800,nation,12753,AccessShareLock,t
946684800,nation,12750,AccessShareLock,t
946684800,nation,12751,AccessShareLock,t
946684800,nation,12748,AccessShareLock,t
946684800,nation,12749,AccessShareLock,t
946684800,nation,12744,AccessShareLock,t
946684800,nation,12745,AccessShareLock,t
946684800,nation,12746,AccessShareLock,t
946684800,nation,12747,AccessShareLock,t
946684800,nation,12739,AccessShareLock,t
946684800,nation,12743,AccessShareLock,t
946684800,part,12769,AccessShareLock,t
946684800,part,12735,AccessShareLock,t
946684800,part,12741,AccessShareLock,t
946684800,part,12742,AccessShareLock,t
946684800,part,12743,AccessShareLock,t
946684800,part,12739,AccessShareLock,t
946684800,part,12747,AccessShareLock,t
946684800,part,12746,AccessShareLock,t
946684800,part,12745,AccessShareLock,t
946684800,part,12744,AccessShareLock,t
946684800,part,12749,AccessShareLock,t
946684800,part,12748,AccessShareLock,t
946684800,part,12751,AccessShareLock,t
946684800,part,12750,AccessShareLock,t
946684800,part,12753,AccessShareLock,t
946684800,part,12752,AccessShareLock,t
946684800,part,12754,AccessShareLock,t
946684800,part_p_size_idx,12735,AccessShareLock,t
946684800,partsupp,12741,AccessShareLock,t
946684800,partsupp,12742,AccessShareLock,t
946684800,partsupp,12743,AccessShareLock,t
946684800,partsupp,12739,AccessShareLock,t
946684800,partsupp,12747,AccessShareLock,t
946684800,partsupp,12746,AccessShareLock,t
946684800,partsupp,12745,AccessShareLock,t
946684800,partsupp,12744,AccessShareLock,t
946684800,partsupp,12749,AccessShareLock,t
946684800,partsupp,12748,AccessShareLock,t
946684800,partsupp,12751,AccessShareLock,t
946684800,partsupp,12750,AccessShareLock,t
946684800,partsupp,12753,AccessShareLock,t
946684800,partsupp,12752,AccessShareLock,t
946684800,partsupp,12754,AccessShareLock,t
946684800,partsupp,12769,AccessShareLock,t
946684800,partsupp,12735,AccessShareLock,t
946684800,partsupp_ps_suppkey_idx,12735,AccessShareLock,t
946684800,pg_locks,12808,AccessShareLock,t
946684800,pk_nation,12741,AccessShareLock,t
946684800,pk_nation,12742,AccessShareLock,t
946684800,pk_nation,12743,AccessShareLock,t
946684800,pk_nation,12739,AccessShareLock,t
946684800,pk_nation,12747,AccessShareLock,t
946684800,pk_nation,12746,AccessShareLock,t
946684800,pk_nation,12745,AccessShareLock,t
946684800,pk_nation,12744,AccessShareLock,t
