ctime,pid,usesysid,application_name,client_addr,client_port,backend_start,xact_start,query_start,waiting,query,state,state_change
946684800,21213,10,psql,10.93.131.148,44159,2015-08-21 14:12:23.568358-04,,2015-08-21 14:12:23.609206-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, a.schemaname, a.relname, a.indexrelname, idx_scan, idx_tup_read, idx_tup_fetch, idx_blks_read, idx_blks_hit FROM pg_stat_all_indexes a, pg_statio_all_indexes b WHERE a.indexrelid = b.indexrelid) TO STDOUT (FORMAT CSV, HEADER);",active,2015-08-21 14:12:23.609209-04
946684800,21208,10,psql,10.93.131.148,44144,2015-08-21 14:12:23.559242-04,,2015-08-21 14:12:23.609091-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, a.schemaname, a.relname, seq_scan, seq_tup_read, idx_scan, idx_tup_fetch, n_tup_ins, n_tup_upd, n_tup_del, n_tup_hot_upd, n_live_tup, n_dead_tup, heap_blks_read, heap_blks_hit, idx_blks_read, idx_blks_hit, toast_blks_read, toast_blks_hit, tidx_blks_read, tidx_blks_hit FROM pg_statio_all_tables a, pg_stat_all_tables b WHERE a.relid = b.relid) TO STDOUT (FORMAT CSV, HEADER);",active,2015-08-21 14:12:23.609095-04
946684800,21214,10,psql,10.93.131.148,44174,2015-08-21 14:12:23.580548-04,,2015-08-21 14:12:23.609639-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, pid, usesysid, application_name, client_addr, client_port, backend_start, xact_start, query_start, waiting, query , state, state_change FROM pg_stat_activity) TO STDOUT (FORMAT CSV, HEADER);",active,2015-08-21 14:12:23.609641-04
946684800,21209,10,psql,10.93.131.148,44150,2015-08-21 14:12:23.562139-04,,2015-08-21 14:12:23.607797-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, numbackends, xact_commit, xact_rollback, blks_read, blks_hit, tup_returned, tup_fetched, tup_inserted, tup_updated, tup_deleted FROM pg_stat_database) TO STDOUT (FORMAT CSV, HEADER);",active,2015-08-21 14:12:23.6078-04
946684800,21217,10,psql,10.93.131.148,44185,2015-08-21 14:12:23.589853-04,,2015-08-21 14:12:23.604319-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, relname, pid, mode, granted FROM pg_locks, pg_class WHERE relfilenode = relation ORDER BY relname) TO STDOUT (FORMAT CSV, HEADER);",active,2015-08-21 14:12:23.604322-04
946684800,21235,10,pgxc,10.93.131.148,44210,2015-08-21 14:12:31.566727-04,,2015-08-21 14:13:23.450187-04,f,RESET ALL;RESET SESSION AUTHORIZATION;RESET transaction_isolation;,idle,2015-08-21 14:13:23.465986-04
946684800,21239,10,pgxc,10.87.3.232,34340,2015-08-21 14:13:06.667657-04,,2015-08-21 14:13:15.355207-04,f,RESET ALL;RESET SESSION AUTHORIZATION;RESET transaction_isolation;,idle,2015-08-21 14:13:15.540639-04
946684800,21241,10,pgxc,10.87.3.206,43792,2015-08-21 14:13:06.710427-04,,2015-08-21 14:13:15.290826-04,f,RESET ALL;RESET SESSION AUTHORIZATION;RESET transaction_isolation;,idle,2015-08-21 14:13:15.54137-04
946684800,21252,10,pgxc,10.223.4.4,48898,2015-08-21 14:13:06.725274-04,,2015-08-21 14:13:15.278883-04,f,RESET ALL;RESET SESSION AUTHORIZATION;RESET transaction_isolation;,idle,2015-08-21 14:13:15.540775-04
946684800,21254,10,pgxc,10.87.8.227,36039,2015-08-21 14:13:06.729206-04,,2015-08-21 14:13:15.282563-04,f,RESET ALL;RESET SESSION AUTHORIZATION;RESET transaction_isolation;,idle,2015-08-21 14:13:15.541814-04
