# hostname;interval;timestamp;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;%vmeff
pgxl3;60;1440180802;7554.27;21189.32;30053.78;0.22;8289.72;0.00;0.00;0.00;0.00
pgxl3;60;1440180862;48832.13;6003.75;15310.85;0.70;22889.30;20306.17;0.00;20300.58;99.97
pgxl3;60;1440180922;3105.00;6011.42;25674.55;0.02;25381.03;1753.88;0.00;1753.87;100.00
pgxl3;60;1440180982;32487.87;2290.85;46723.08;0.03;24051.75;9644.23;0.00;9644.13;100.00
pgxl3;60;1440181042;41144.00;365.98;30695.75;0.00;22843.18;10181.18;0.00;10181.10;100.00
pgxl3;60;1440181102;22645.07;389.33;17925.28;0.00;12548.48;5815.07;17.07;5831.82;99.99
pgxl3;60;1440181162;23646.40;526.45;19222.20;0.00;13591.32;6206.77;0.00;6206.35;99.99
pgxl3;60;1440181222;15573.20;73.38;12929.08;1.00;9440.13;3994.17;0.00;3994.17;100.00
pgxl3;60;1440181282;13566.07;15.92;12743.75;0.00;9198.13;3521.78;0.00;3521.78;100.00
pgxl3;60;1440181342;14460.87;6.55;16076.58;0.00;10887.88;3788.22;0.00;3788.20;100.00
pgxl3;60;1440181402;8776.07;4.50;11541.82;0.00;7623.27;2266.12;0.00;2266.12;100.00
pgxl3;60;1440181462;9099.20;3.88;13478.32;0.00;8817.07;2275.62;0.00;2275.58;100.00
pgxl3;60;1440181522;7950.00;6.95;12026.67;0.00;8122.55;2003.93;0.00;2003.88;100.00
pgxl3;60;1440181582;6815.73;5.28;9905.82;0.00;7260.13;1867.78;0.00;1867.72;100.00
pgxl3;60;1440181642;6788.40;22.55;12845.07;0.00;8743.03;1658.88;17.07;1675.92;100.00
pgxl3;60;1440181702;4897.53;20.67;9951.27;0.00;6743.42;1212.15;0.00;1212.15;100.00
pgxl3;60;1440181762;3429.93;10.85;9660.62;0.00;6382.10;1004.05;0.00;1004.05;100.00
pgxl3;60;1440181822;3266.40;19.78;11757.07;0.00;7548.33;775.62;0.00;775.62;100.00
pgxl3;60;1440181882;2255.60;36.48;9974.90;0.00;6688.43;702.45;0.00;702.45;100.00
pgxl3;60;1440181942;3377.47;9.73;32991.62;0.02;15280.87;4187.88;0.00;4187.88;100.00
pgxl3;60;1440182002;14211.13;104.25;88935.48;0.00;44215.68;10640.13;214.93;10851.98;99.97
pgxl3;60;1440182062;19413.13;28.82;72250.38;0.00;41209.07;8345.82;530.13;8875.95;100.00
pgxl3;60;1440182122;22207.27;44.43;63301.63;0.00;39820.88;7520.88;278.40;7799.28;100.00
pgxl3;60;1440182182;18831.27;20.97;57730.02;1.08;38912.32;6084.50;99.20;6183.68;100.00
pgxl3;60;1440182242;15679.87;59.67;56428.53;0.00;37577.88;4326.38;74.13;4400.48;100.00
pgxl3;60;1440182302;18640.73;39.25;52190.83;0.00;38023.57;4831.43;60.27;4891.67;100.00
pgxl3;60;1440182362;17762.13;44.83;49283.80;0.03;38477.58;4779.12;32.53;4811.63;100.00
pgxl3;60;1440182422;16205.13;40.83;47541.88;1.02;37985.88;3968.30;38.40;4006.70;100.00
pgxl3;60;1440182482;16118.53;53.52;45920.00;0.00;37451.92;4088.27;22.93;4111.20;100.00
pgxl3;60;1440182542;12343.93;41.62;45616.93;0.00;36059.30;3088.08;37.33;3125.42;100.00
pgxl3;60;1440182602;7584.47;44.75;44507.18;0.00;35269.42;1894.48;19.20;1913.68;100.00
pgxl3;60;1440182662;3425.60;46.25;42474.60;0.00;34358.17;1079.68;21.33;1101.02;100.00
pgxl3;60;1440182722;6309.80;37.48;42250.53;0.00;34921.28;1347.33;13.33;1360.67;100.00
pgxl3;60;1440182782;7845.53;50.10;42192.82;0.45;35069.98;1780.53;42.13;1817.80;99.73
pgxl3;60;1440182842;6126.40;52.03;42096.77;0.42;34604.03;1461.38;32.00;1493.38;100.00
pgxl3;60;1440182902;4559.80;49.63;40276.08;0.00;34503.97;1073.25;33.60;1106.85;100.00
pgxl3;60;1440182962;7890.80;78.33;57755.83;0.37;31218.53;457.35;5.33;462.68;100.00
pgxl3;60;1440183022;1290.32;7.42;16986.57;0.35;50195.28;565.49;72.52;638.01;100.00
pgxl3;60;1440183082;1485.80;5.70;16566.92;0.00;50033.25;252.48;20.27;272.75;100.00
pgxl3;60;1440183142;22243.20;1715.32;13325.83;0.02;42945.18;7786.03;46.93;7832.95;100.00
pgxl3;60;1440183202;59377.67;6990.10;2951.23;0.10;19940.07;18599.28;0.00;18595.30;99.98
